CATAID,LOGIT_CLASS(1-UVUP;0-UVWEAK),REDSHIFT,SERSIC_GALFIT,SERSIC_SEXTRACTOR
320507,1,0.13689,2.3798,0.7712845
319806,0,0.11076,5.7297,2.730262
319869,0,0.11698,3.139,1.2838
460457,0,0.13877,5.9729,4.793993
463197,0,0.1164,4.9997,2.424001
39855,0,0.13241,5.2742,4.632762
567474,0,0.17396,4.3228,4.884929
143221,0,0.14466,5.7265,6.70836
77350,0,0.12736,5.8286,4.020075
15899,0,0.10264,2.3329,1.122077
560283,0,0.17824,5.4428,4.265949
71119,0,0.08238,4.0412,4.300744
83945,1,0.13574,3.4543,1.697159
91691,0,0.05477,2.6236,2.85718
278443,0,0.13291,3.594,4.133198
202786,0,0.21136,5.0651,5.374793
319293,0,0.05421,5.1256,3.120695
301761,0,0.07139,3.9605,5.208457
319651,0,0.08412,4.6455,4.777924
371788,0,0.07081,2.2753,2.869751
323198,1,0.19552,3.0617,1.013821
418188,0,0.1295,7.588,5.434817
272964,0,0.07808,4.3009,3.951573
584156,0,0.22662,2.4363,1.166751
221017,0,0.07494,3.195,4.328363
611000,0,0.07774,2.7796,2.720867
599834,0,0.05209,4.0159,7.346962
54376,0,0.1627,5.4542,4.962721
70970,0,0.09986,2.4679,2.532273
185786,0,0.2311,2.904,3.687046
492486,0,0.05541,3.7183,5.958516
40977,0,0.09408,3.4267,2.132625
7489,0,0.12823,3.723,2.892921
178552,0,0.15259,1.9642,2.732108
318841,0,0.12824,2.7377,1.573904
15916,0,0.1262,3.6936,4.311016
8299,1,0.08857,4.809,5.444856
599272,0,0.2626,3.985,3.649996
99039,0,0.14738,4.6858,5.713245
106181,0,0.12695,2.9771,4.09142
216184,0,0.01878,2.2589,4.828274
320687,0,0.13903,2.4814,3.2227
547814,0,0.15701,7.6125,4.895534
376703,0,0.052,4.2939,4.982293
387125,1,0.21413,2.5619,2.593797
204953,0,0.32833,3.2213,1.391064
518563,0,0.19325,7.1255,3.633138
514218,0,0.08484,3.234,4.584432
534644,0,0.04732,4.1874,6.502732
543770,0,0.08715,3.5346,3.292918
299056,0,0.14129,4.6549,4.527786
22883,0,0.06413,3.0014,3.605767
574235,0,0.26608,1.9419,1.512414
544580,0,0.14915,2.354,1.584609
610012,0,0.16094,3.9634,5.019857
609548,1,0.09378,3.1469,1.098855
16429,0,0.03053,1.588,2.470524
54456,0,0.16329,2.8555,3.225372
600420,0,0.05228,3.267,4.03423
600929,0,0.05347,3.4692,3.463006
219763,0,0.19935,4.4009,3.784829
16317,0,0.03411,3.7588,4.271246
549975,0,0.17342,2.7925,2.353962
184654,1,0.12319,1.8224,1.31739
196164,1,0.16858,1.2884,1.186844
40702,0,0.2019,5.635,3.538581
485928,0,0.22063,3.386,3.477984
491578,0,0.11238,6.7629,5.032046
301283,0,0.27053,4.9257,3.020316
289435,0,0.18732,5.8645,4.697699
299010,0,0.1959,2.8175,5.064263
536490,0,0.21112,5.1996,5.410449
545020,1,0.09463,2.0923,6.206228
507903,0,0.1395,1.8597,1.791436
584024,1,0.32772,5.126,2.473248
273843,0,0.07922,4.1295,3.775799
569300,0,0.10678,4.9257,5.586086
559533,0,0.13424,4.8954,6.102648
289203,0,0.07698,4.472,7.32647
288370,1,0.19633,3.2523,3.049707
622352,0,0.08625,2.7283,4.130887
297373,0,0.27908,3.1761,1.997235
106413,0,0.216,5.6115,3.931501
215987,0,0.14916,4.436,5.548716
593193,1,0.131,2.4144,2.513827
273374,0,0.12577,6.0793,3.365459
601164,1,0.16375,3.4773,3.073566
31009,0,0.13466,4.7292,2.298894
493625,0,0.14299,5.5646,6.65457
559917,0,0.12814,4.5415,5.133951
485727,1,0.05357,4.5994,5.392326
78148,0,0.13955,2.675,3.042774
177976,0,0.10196,2.6175,2.271609
325421,0,0.28484,7.293,4.215093
534655,0,0.0464,2.6276,3.73769
48264,1,0.10365,2.8815,1.468659
93296,1,0.15103,3.3239,4.063205
23779,0,0.38014,4.1716,2.402711
32613,0,0.2598,5.6885,2.054994
460343,0,0.06957,4.1625,2.387847
593782,0,0.2201,3.6061,2.416338
99894,0,0.18604,5.26,4.111483
618860,0,0.12952,1.8441,2.417839
560288,0,0.0814,4.9131,5.690596
611563,1,0.24112,3.448,3.220289
205155,0,0.05538,2.9109,4.873534
145247,0,0.07551,4.5323,4.361983
535591,1,0.13538,3.8774,4.917926
22900,0,0.13252,5.8107,5.558063
138569,0,0.0768,6.1552,7.217102
599441,0,0.13728,3.9154,3.855746
618937,0,0.05548,3.8101,3.696648
381242,0,0.32166,4.4275,1.806647
64743,0,0.14903,5.1814,6.031884
457615,0,0.04782,2.7008,2.411136
203386,0,0.23867,2.7635,2.715852
49252,0,0.14752,6.388,5.508599
179410,1,0.19869,2.8593,2.4734
227617,1,0.05426,5.5187,5.714926
251178,0,0.22437,2.723,2.031124
610129,0,0.06513,4.5637,5.649655
106767,0,0.11375,3.7359,5.635732
592909,0,0.07729,3.5304,3.903781
610258,0,0.27059,4.768,3.370279
7288,1,0.17892,3.2043,1.788006
14776,0,0.12426,5.7302,4.472874
93262,0,0.14833,2.8411,2.412093
271538,0,0.07636,3.8234,6.079477
372795,0,0.0951,4.9395,5.317723
289380,0,0.11015,4.1595,3.142378
214936,1,0.19395,3.723,2.569053
